label,size,model_condition,pid,time
0,31,model_1_SeedDen_0.25,3766385,10
1,34,model_1_SeedDen_0.25,3766385,10
2,31,model_1_SeedDen_0.25,3766385,10
3,30,model_1_SeedDen_0.25,3766385,10
4,21,model_1_SeedDen_0.25,3766385,10
5,28,model_1_SeedDen_0.25,3766385,10
6,30,model_1_SeedDen_0.25,3766385,10
7,31,model_1_SeedDen_0.25,3766385,10
8,25,model_1_SeedDen_0.25,3766385,10
9,29,model_1_SeedDen_0.25,3766385,10
10,30,model_1_SeedDen_0.25,3766385,10
11,31,model_1_SeedDen_0.25,3766385,10
12,30,model_1_SeedDen_0.25,3766385,10
13,28,model_1_SeedDen_0.25,3766385,10
14,14,model_1_SeedDen_0.25,3766385,10
0,117,model_1_SeedDen_0.25,3766385,20
1,111,model_1_SeedDen_0.25,3766385,20
2,121,model_1_SeedDen_0.25,3766385,20
3,113,model_1_SeedDen_0.25,3766385,20
4,94,model_1_SeedDen_0.25,3766385,20
5,107,model_1_SeedDen_0.25,3766385,20
6,110,model_1_SeedDen_0.25,3766385,20
7,113,model_1_SeedDen_0.25,3766385,20
8,100,model_1_SeedDen_0.25,3766385,20
9,106,model_1_SeedDen_0.25,3766385,20
10,116,model_1_SeedDen_0.25,3766385,20
11,117,model_1_SeedDen_0.25,3766385,20
12,103,model_1_SeedDen_0.25,3766385,20
13,102,model_1_SeedDen_0.25,3766385,20
14,56,model_1_SeedDen_0.25,3766385,20
0,716,model_1_SeedDen_0.25,3766385,30
1,250,model_1_SeedDen_0.25,3766385,30
2,445,model_1_SeedDen_0.25,3766385,30
3,245,model_1_SeedDen_0.25,3766385,30
4,242,model_1_SeedDen_0.25,3766385,30
5,260,model_1_SeedDen_0.25,3766385,30
6,247,model_1_SeedDen_0.25,3766385,30
7,260,model_1_SeedDen_0.25,3766385,30
8,262,model_1_SeedDen_0.25,3766385,30
9,201,model_1_SeedDen_0.25,3766385,30
10,203,model_1_SeedDen_0.25,3766385,30
11,124,model_1_SeedDen_0.25,3766385,30
0,1107,model_1_SeedDen_0.25,3766385,40
1,450,model_1_SeedDen_0.25,3766385,40
2,758,model_1_SeedDen_0.25,3766385,40
3,744,model_1_SeedDen_0.25,3766385,40
4,439,model_1_SeedDen_0.25,3766385,40
5,468,model_1_SeedDen_0.25,3766385,40
6,440,model_1_SeedDen_0.25,3766385,40
7,463,model_1_SeedDen_0.25,3766385,40
8,458,model_1_SeedDen_0.25,3766385,40
9,326,model_1_SeedDen_0.25,3766385,40
10,222,model_1_SeedDen_0.25,3766385,40
0,30,model_1_SeedDen_0.25,3766437,10
1,29,model_1_SeedDen_0.25,3766437,10
2,28,model_1_SeedDen_0.25,3766437,10
3,31,model_1_SeedDen_0.25,3766437,10
4,35,model_1_SeedDen_0.25,3766437,10
5,27,model_1_SeedDen_0.25,3766437,10
6,28,model_1_SeedDen_0.25,3766437,10
7,26,model_1_SeedDen_0.25,3766437,10
8,27,model_1_SeedDen_0.25,3766437,10
9,29,model_1_SeedDen_0.25,3766437,10
10,31,model_1_SeedDen_0.25,3766437,10
11,29,model_1_SeedDen_0.25,3766437,10
12,28,model_1_SeedDen_0.25,3766437,10
13,24,model_1_SeedDen_0.25,3766437,10
0,297,model_1_SeedDen_0.25,3766437,20
1,117,model_1_SeedDen_0.25,3766437,20
2,123,model_1_SeedDen_0.25,3766437,20
3,106,model_1_SeedDen_0.25,3766437,20
4,106,model_1_SeedDen_0.25,3766437,20
5,105,model_1_SeedDen_0.25,3766437,20
6,190,model_1_SeedDen_0.25,3766437,20
7,116,model_1_SeedDen_0.25,3766437,20
8,112,model_1_SeedDen_0.25,3766437,20
9,109,model_1_SeedDen_0.25,3766437,20
10,101,model_1_SeedDen_0.25,3766437,20
0,542,model_1_SeedDen_0.25,3766437,30
1,263,model_1_SeedDen_0.25,3766437,30
2,272,model_1_SeedDen_0.25,3766437,30
3,239,model_1_SeedDen_0.25,3766437,30
4,253,model_1_SeedDen_0.25,3766437,30
5,241,model_1_SeedDen_0.25,3766437,30
6,378,model_1_SeedDen_0.25,3766437,30
7,260,model_1_SeedDen_0.25,3766437,30
8,255,model_1_SeedDen_0.25,3766437,30
9,242,model_1_SeedDen_0.25,3766437,30
10,224,model_1_SeedDen_0.25,3766437,30
0,1282,model_1_SeedDen_0.25,3766437,40
1,459,model_1_SeedDen_0.25,3766437,40
2,425,model_1_SeedDen_0.25,3766437,40
3,451,model_1_SeedDen_0.25,3766437,40
4,434,model_1_SeedDen_0.25,3766437,40
5,622,model_1_SeedDen_0.25,3766437,40
6,465,model_1_SeedDen_0.25,3766437,40
7,450,model_1_SeedDen_0.25,3766437,40
8,438,model_1_SeedDen_0.25,3766437,40
9,418,model_1_SeedDen_0.25,3766437,40
0,60,model_1_SeedDen_0.25,3766417,10
1,25,model_1_SeedDen_0.25,3766417,10
2,30,model_1_SeedDen_0.25,3766417,10
3,30,model_1_SeedDen_0.25,3766417,10
4,32,model_1_SeedDen_0.25,3766417,10
5,33,model_1_SeedDen_0.25,3766417,10
6,25,model_1_SeedDen_0.25,3766417,10
7,30,model_1_SeedDen_0.25,3766417,10
8,29,model_1_SeedDen_0.25,3766417,10
9,26,model_1_SeedDen_0.25,3766417,10
10,23,model_1_SeedDen_0.25,3766417,10
11,32,model_1_SeedDen_0.25,3766417,10
12,31,model_1_SeedDen_0.25,3766417,10
13,34,model_1_SeedDen_0.25,3766417,10
0,187,model_1_SeedDen_0.25,3766417,20
1,96,model_1_SeedDen_0.25,3766417,20
2,116,model_1_SeedDen_0.25,3766417,20
3,115,model_1_SeedDen_0.25,3766417,20
4,113,model_1_SeedDen_0.25,3766417,20
5,121,model_1_SeedDen_0.25,3766417,20
6,100,model_1_SeedDen_0.25,3766417,20
7,322,model_1_SeedDen_0.25,3766417,20
8,115,model_1_SeedDen_0.25,3766417,20
9,95,model_1_SeedDen_0.25,3766417,20
10,116,model_1_SeedDen_0.25,3766417,20
11,100,model_1_SeedDen_0.25,3766417,20
0,372,model_1_SeedDen_0.25,3766417,30
1,227,model_1_SeedDen_0.25,3766417,30
2,261,model_1_SeedDen_0.25,3766417,30
3,255,model_1_SeedDen_0.25,3766417,30
4,259,model_1_SeedDen_0.25,3766417,30
5,267,model_1_SeedDen_0.25,3766417,30
6,243,model_1_SeedDen_0.25,3766417,30
7,621,model_1_SeedDen_0.25,3766417,30
8,257,model_1_SeedDen_0.25,3766417,30
9,228,model_1_SeedDen_0.25,3766417,30
10,262,model_1_SeedDen_0.25,3766417,30
11,187,model_1_SeedDen_0.25,3766417,30
0,614,model_1_SeedDen_0.25,3766417,40
1,419,model_1_SeedDen_0.25,3766417,40
2,471,model_1_SeedDen_0.25,3766417,40
3,1388,model_1_SeedDen_0.25,3766417,40
4,463,model_1_SeedDen_0.25,3766417,40
5,466,model_1_SeedDen_0.25,3766417,40
6,442,model_1_SeedDen_0.25,3766417,40
7,468,model_1_SeedDen_0.25,3766417,40
8,421,model_1_SeedDen_0.25,3766417,40
9,462,model_1_SeedDen_0.25,3766417,40
10,290,model_1_SeedDen_0.25,3766417,40
0,28,model_1_SeedDen_0.25,3766413,10
1,23,model_1_SeedDen_0.25,3766413,10
2,23,model_1_SeedDen_0.25,3766413,10
3,25,model_1_SeedDen_0.25,3766413,10
4,33,model_1_SeedDen_0.25,3766413,10
5,32,model_1_SeedDen_0.25,3766413,10
6,28,model_1_SeedDen_0.25,3766413,10
7,26,model_1_SeedDen_0.25,3766413,10
8,26,model_1_SeedDen_0.25,3766413,10
9,26,model_1_SeedDen_0.25,3766413,10
10,25,model_1_SeedDen_0.25,3766413,10
11,32,model_1_SeedDen_0.25,3766413,10
12,32,model_1_SeedDen_0.25,3766413,10
13,28,model_1_SeedDen_0.25,3766413,10
14,18,model_1_SeedDen_0.25,3766413,10
0,113,model_1_SeedDen_0.25,3766413,20
1,96,model_1_SeedDen_0.25,3766413,20
2,102,model_1_SeedDen_0.25,3766413,20
3,226,model_1_SeedDen_0.25,3766413,20
4,117,model_1_SeedDen_0.25,3766413,20
5,107,model_1_SeedDen_0.25,3766413,20
6,107,model_1_SeedDen_0.25,3766413,20
7,107,model_1_SeedDen_0.25,3766413,20
8,100,model_1_SeedDen_0.25,3766413,20
9,106,model_1_SeedDen_0.25,3766413,20
10,236,model_1_SeedDen_0.25,3766413,20
11,87,model_1_SeedDen_0.25,3766413,20
12,69,model_1_SeedDen_0.25,3766413,20
0,250,model_1_SeedDen_0.25,3766413,30
1,229,model_1_SeedDen_0.25,3766413,30
2,485,model_1_SeedDen_0.25,3766413,30
3,447,model_1_SeedDen_0.25,3766413,30
4,250,model_1_SeedDen_0.25,3766413,30
5,243,model_1_SeedDen_0.25,3766413,30
6,239,model_1_SeedDen_0.25,3766413,30
7,234,model_1_SeedDen_0.25,3766413,30
8,705,model_1_SeedDen_0.25,3766413,30
9,178,model_1_SeedDen_0.25,3766413,30
10,144,model_1_SeedDen_0.25,3766413,30
0,438,model_1_SeedDen_0.25,3766413,40
1,413,model_1_SeedDen_0.25,3766413,40
2,804,model_1_SeedDen_0.25,3766413,40
3,718,model_1_SeedDen_0.25,3766413,40
4,447,model_1_SeedDen_0.25,3766413,40
5,439,model_1_SeedDen_0.25,3766413,40
6,429,model_1_SeedDen_0.25,3766413,40
7,433,model_1_SeedDen_0.25,3766413,40
8,1052,model_1_SeedDen_0.25,3766413,40
9,283,model_1_SeedDen_0.25,3766413,40
10,250,model_1_SeedDen_0.25,3766413,40
0,29,model_1_SeedDen_0.25,3766439,10
1,26,model_1_SeedDen_0.25,3766439,10
2,33,model_1_SeedDen_0.25,3766439,10
