site_id,x,y,site_type,cell_id,adjacent_site_ids_str,zonation_type
0,0.0,0.0,0,0,n/a,n/a
1,1.0,0.0,2,1,"7,8,2,6,9",peri-central
2,0.4999999999999999,0.8660254037844387,2,2,"8,10,11,3,1",peri-central
3,-0.5000000000000002,0.8660254037844386,2,3,"2,11,12,13,4",peri-central
4,-1.0,-3.216245299353273e-16,2,4,"3,13,14,15,5",peri-central
5,-0.4999999999999996,-0.8660254037844388,2,5,"6,4,15,16,17",peri-central
6,0.5000000000000001,-0.8660254037844386,2,6,"9,1,5,17,18",peri-central
7,2.0,0.0,2,7,"19,20,8,1,9,21",peri-central
8,1.5,0.8660254037844387,2,8,"20,22,10,2,1,7",peri-central
9,1.5,-0.8660254037844386,2,9,"21,7,1,6,18,23",peri-central
10,0.9999999999999998,1.7320508075688774,2,10,"22,24,25,11,2,8",peri-central
11,-3.3306690738754696e-16,1.7320508075688772,2,11,"10,25,26,12,3,2",peri-central
12,-1.0000000000000004,1.7320508075688772,2,12,"11,26,27,28,13,3",peri-central
13,-1.5000000000000002,0.8660254037844383,2,13,"3,12,28,29,14,4",peri-central
14,-2.0,-6.432490598706546e-16,2,14,"4,13,29,30,31,15",peri-central
15,-1.4999999999999996,-0.8660254037844392,2,15,"5,4,14,31,32,16",peri-central
16,-0.9999999999999992,-1.7320508075688776,2,16,"17,5,15,32,33,34",peri-central
17,4.996003610813204e-16,-1.7320508075688774,2,17,"18,6,5,16,34,35",peri-central
18,1.0000000000000002,-1.7320508075688772,2,18,"23,9,6,17,35,36",peri-central
19,3.0,0.0,2,19,"37,38,20,7,21,39",peri-central
20,2.5,0.8660254037844387,2,20,"38,40,22,8,7,19",peri-central
21,2.5,-0.8660254037844386,2,21,"39,19,7,9,23,41",peri-central
22,2.0,1.7320508075688774,2,22,"40,42,24,10,8,20",peri-central
23,2.0,-1.7320508075688772,2,23,"41,21,9,18,36,43",peri-central
24,1.4999999999999996,2.598076211353316,2,24,"42,44,45,25,10,22",peri-central
25,0.4999999999999995,2.598076211353316,2,25,"24,45,46,26,11,10",peri-central
26,-0.5000000000000006,2.598076211353316,2,26,"25,46,47,27,12,11",peri-central
27,-1.5000000000000009,2.598076211353316,2,27,"26,47,48,49,28,12",peri-central
28,-2.0000000000000004,1.732050807568877,2,28,"12,27,49,50,29,13",peri-central
29,-2.5,0.8660254037844379,2,29,"13,28,50,51,30,14",peri-central
30,-3.0,-9.64873589805982e-16,2,30,"14,29,51,52,53,31",peri-central
31,-2.5,-0.8660254037844395,2,31,"15,14,30,53,54,32",peri-central
32,-1.9999999999999991,-1.732050807568878,2,32,"16,15,31,54,55,33",peri-central
33,-1.499999999999999,-2.5980762113533165,2,33,"34,16,32,55,56,57",peri-central
34,-0.4999999999999991,-2.598076211353316,2,34,"35,17,16,33,57,58",peri-central
35,0.5000000000000007,-2.598076211353316,2,35,"36,18,17,34,58,59",peri-central
36,1.5000000000000004,-2.598076211353316,2,36,"43,23,18,35,59,60",peri-central
37,4.0,0.0,2,37,"61,62,38,19,39,63",peri-central
38,3.5,0.8660254037844387,2,38,"62,64,40,20,19,37",peri-central
39,3.5,-0.8660254037844386,2,39,"63,37,19,21,41,65",peri-central
40,3.0,1.7320508075688774,2,40,"64,66,42,22,20,38",peri-central
41,3.0,-1.7320508075688772,2,41,"65,39,21,23,43,67",peri-central
42,2.5,2.598076211353316,2,42,"66,68,44,24,22,40",peri-central
43,2.5,-2.598076211353316,2,43,"67,41,23,36,60,69",peri-central
44,2.0,3.464101615137755,2,44,"68,70,71,45,24,42",peri-central
45,0.9999999999999992,3.4641016151377544,2,45,"44,71,72,46,25,24",peri-central
46,-6.661338147750939e-16,3.4641016151377544,2,46,"45,72,73,47,26,25",peri-central
47,-1.0000000000000009,3.4641016151377544,2,47,"46,73,74,48,27,26",peri-central
48,-2.000000000000001,3.4641016151377544,2,48,"47,74,75,76,49,27",peri-central
49,-2.500000000000001,2.598076211353316,2,49,"27,48,76,77,50,28",peri-central
50,-3.0000000000000004,1.7320508075688767,2,50,"28,49,77,78,51,29",peri-central
51,-3.5,0.8660254037844376,2,51,"29,50,78,79,52,30",peri-central
52,-4.0,-1.2864981197413093e-15,2,52,"30,51,79,80,81,53",peri-central
53,-3.5,-0.8660254037844398,2,53,"31,30,52,81,82,54",peri-central
54,-2.999999999999999,-1.7320508075688783,2,54,"32,31,53,82,83,55",peri-central
55,-2.4999999999999987,-2.598076211353317,2,55,"33,32,54,83,84,56",peri-central
56,-1.9999999999999984,-3.4641016151377557,2,56,"57,33,55,84,85,86",peri-central
57,-0.9999999999999988,-3.4641016151377557,2,57,"58,34,33,56,86,87",peri-central
58,9.992007221626409e-16,-3.4641016151377544,2,58,"59,35,34,57,87,88",peri-central
59,1.0000000000000009,-3.4641016151377544,2,59,"60,36,35,58,88,89",peri-central
60,2.0000000000000004,-3.4641016151377544,2,60,"69,43,36,59,89,90",peri-central
61,5.0,0.0,2,61,"91,92,62,37,63,93",peri-central
62,4.5,0.8660254037844387,2,62,"92,94,64,38,37,61",peri-central
63,4.5,-0.8660254037844386,2,63,"93,61,37,39,65,95",peri-central
64,4.0,1.7320508075688774,2,64,"94,96,66,40,38,62",peri-central
65,4.0,-1.7320508075688772,2,65,"95,63,39,41,67,97",peri-central
66,3.5,2.598076211353316,2,66,"96,98,68,42,40,64",peri-central
67,3.5,-2.598076211353316,2,67,"97,65,41,43,69,99",peri-central
68,3.0,3.464101615137755,2,68,"98,100,70,44,42,66",peri-central
69,3.0,-3.4641016151377544,2,69,"99,67,43,60,90,101",peri-central
70,2.5,4.330127018922194,2,70,"100,102,103,71,44,68",peri-central
71,1.4999999999999991,4.330127018922194,2,71,"70,103,104,72,45,44",peri-central
72,0.4999999999999991,4.330127018922193,2,72,"71,104,105,73,46,45",peri-central
73,-0.5000000000000009,4.330127018922193,2,73,"72,105,106,74,47,46",peri-central
74,-1.500000000000001,4.330127018922193,2,74,"73,106,107,75,48,47",peri-central
75,-2.500000000000001,4.330127018922193,2,75,"74,107,108,109,76,48",peri-central
76,-3.000000000000001,3.464101615137754,2,76,"48,75,109,110,77,49",peri-central
77,-3.500000000000001,2.598076211353315,2,77,"49,76,110,111,78,50",peri-central
